2026-01-25 16:45:50,526 | INFO    | runtime:realty_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'realty_assistant'
2026-01-25 16:50:37,658 | INFO    | runtime:realty_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'realty_assistant'
2026-01-25 16:55:00,670 | INFO    | runtime:realty_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'realty_assistant'
2026-01-25 16:56:29,953 | INFO    | runtime:realty_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'realty_assistant'
2026-01-25 17:19:01,637 | INFO    | runtime:realty_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'realty_assistant'
2026-01-25 17:22:51,113 | INFO    | runtime:realty_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'realty_assistant'
2026-01-25 17:24:17,941 | INFO    | runtime:realty_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'realty_assistant'
2026-01-25 17:24:57,012 | INFO    | runtime:realty_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'realty_assistant'
2026-01-25 17:25:22,101 | INFO    | runtime:realty_assistant | reload_manager:84 | _watch_workspace | Stopping workspace watcher for 'realty_assistant'
